No.,Author,Title,Publication,Start_Year,End_Year,Publication_Type,Source,비고
364,천세욱,배반자,아리랑,1956.12.,,Article,M,
365,천세욱,밀실의 귀부인,아리랑,1957.01.,,Article,M,
366,천세욱,미모의 적,아리랑,1957.02.,,Article,M,
367,천세욱,만우절 살인사건,아리랑,1957.04.,,Article,M,
368,천세욱,폭력의 훈장,아리랑,1957.06.,,Article,M,
369,천세욱,애원의 색마,야담과 실화,1957.07.,,Article,M,
370,천세욱,그림자 없는 고백,아리랑,1957.08.,1959.09.,Article,M,
371,천세욱,무너진 부재증명,화제,1957.11.,,Article,M,
372,천세욱,괴도와 임호,아리랑,1958.03.,,Article,M,
373,천세욱,너도 지옥으로,혜성,1958.04.,,Article,M,
374,천세욱,봄 밤의 엽기,아리랑,1958.05.,,Article,M,
375,천세욱,해변의 욕정,이야기,1958.10.,,Article,M,
376,천세욱,제3의 제비,이야기,1957.11.,,Article,M,
377,천세욱,여인애가,야담과 실화,1958.12.,,Article,M,
378,천세욱,나는 안 속으련다,소설계,1959.01.,,Article,M,
379,손일성,유령생포담,실화,1956.01.,,Article,M,
380,신광식,가면을 벗은 미녀,화제,1959.01.,,Article,M,
381,신정언,괴이한 실종,화제,1958.01.,,Article,M,
382,안동민,지옥에의 계단,실화,1955.12.,,Article,M,
383,안응표,소사체의 비밀,아리랑,1957.09.,,Article,M,
384,안응표,괴이한 전화,아리랑,1957.10.,,Article,M,
385,엄소정,여성에의 복수에 미친 사나이,이야기,1958.06.,,Article,M,
386,오동하,단서는 침대에 있었다,화제,1959.01.,,Article,M,
387,왕소인,기묘한 사진,실화,1956.01.,,Article,M,
388,왕소인,망령 나타나다,실화,1956.03.,,Article,M,
389,원방각,어떤 곡선미,아리랑,1959.11.,,Article,M,
390,유신,운명의 맹인 살인사건,아리랑,1956.08.,,Article,M,
391,유신,마약가의 살인,아리랑,1957.07.,,Article,M,
392,유장호,벌거벗은 미인유령,화제,1958.09.,,Article,M,
393,유장호,보석부인의 정체,화제,1959.01.,,Article,M,
394,이가백,정만수의 살인극,야담과 실화,1957.09.,,Article,M,
395,이규류,그림자의 예고,명랑,1956.08.,,Article,M,
396,이녕원,애욕쌍곡선,명랑,1956.08.,,Article,M,
397,이병칠,녹색의 구두,희망,1956.08.,,Article,M,
398,이사하,흑장유령,야담,1956.09.,,Article,M,
399,이연석,삽,희망,1956.07.,,Article,M,
400,이인창,환상의 여인,화제,1958.02.,,Article,M,
401,이진규,테레비 탑의 살인,화제,1957.11.,,Article,M,
402,이한파,새벽의 변시,소설계,1959.11.,,Article,M,
403,이흥우,도직전업,화제,1957.10.,,Article,M,
404,임거문,흑의의 괴미인,실화,1954.03.,1955.06.,Article,M,
405,임거문,탈옥한 사형수,아리랑,1956.02.,,Article,M,
406,임거문,관속에 살아있는 살인자,아리랑,1956.04.,,Article,M,
407,임거문,미인의 변사,아리랑,1956.05.,,Article,M,
408,임거문,기밀의 필름,실화,1956.05.,,Article,M,
409,임거문,공범자의 사랑,아리랑,1956.09.,,Article,M,
410,임거문,범죄와 사랑과 죽음,아리랑,1956.10.,,Article,M,
411,임거문,조각이 된 여인,실화,1956.10.,,Article,M,
412,임거문,악에의 복수,아리랑,1956.11.,,Article,M,
413,임거문,서울지폐위조단,아리랑,1956.12.,,Article,M,
414,임거문,백양 호텔 사건,아리랑,1957.01.,,Article,M,
415,임거문,은행강도,실화,1957.03.,,Article,M,
416,임거문,그 사나이의 정체,아리랑,1957.05.,,Article,M,
417,임거문,탈출하던 순간,아리랑,1957.07.,,Article,M,
418,임거문,미행하는 여인,아리랑,1957.08.,,Article,M,
419,임거문,마굴의 이주간,실화,1957.09.,,Article,M,
420,임거문,인체조각상,아리랑,1957.12.,,Article,M,
421,임거문,유혹뒤에 오는 것,화제,1957.12.,,Article,M,
422,임인수,시체에 찍힌 붉은 반점,아리랑,1958.01.,,Article,M,
423,임청풍,유령이 타는 가야금,소설계,1959.11.,,Article,M,
424,정사석,신출귀몰 김강석 탐정의 비밀,화제,1959.01.,,Article,M,
425,정황운,심야의 수수께끼,아리랑,1959.05.,,Article,M,
426,정황운,두 번 잡은 범인,아리랑,1959.08.,,Article,M,
427,정황운,마굴의 미녀,아리랑,1959.09.,,Article,M,
428,정황운,혼야의 살인,아리랑,1959.10.,,Article,M,
429,정황운,피묻은 손수건,아리랑,1959.11.,,Article,M,
430,정황운,사랑과 권총,아리랑,1959.12.,,Article,M,
431,조능식,호색백작 살인사건,아리랑,1956.05.,,Article,M,
432,조능식,맹인의 육감,아리랑,1956.07.,,Article,M,
433,조능식,KK단의 색마왕,아리랑,1956.08.,,Article,M,
