No.,Title,Author,Publication,Start_Year,End_Year,Publication_Type,Source,비고
170,검은 바다의 소용돌이 : 조정래 장편소설,조정래,청암,2016,,Book,"MK, DN",
171,김정일은 너무 한다 : 유서의 비밀 : 분석추리소설,고요경,부크크,2016,,Book,"MK, DN",
172,마릴린 먼로의 입술 : 2016 올해의 추리소설,"김경수,김범석,김재희,김주동,문정순,양수련,윤자영,이상우,장우석,정가일,조동신,최종철 ;엮은이: 한국추리작가협회",황금펜클럽,2016,,Anthology,"MK, DN",
173,물이 바다를 덮음같이,이종화,홍성사,2016,,Book,"MK, DN",
174,"미스터리는 풀렸다! : 기막힌 반전에서 절묘한 트릭까지, 깨알같고 비밀스런 추리소설 산책",박광규,눌민,2016,,Book,"MK, DN, MN",동일
175,붉은 집 살인사건 : 도진기 장편소설,도진기,황금가지,2016,,Book,"MK, DN",
176,살의 : 윤호 장편추리소설,윤호,다토북스,2016,,Book,"MK, DN",
177,셜록 홈즈의 증명,"김재희,박현주,손선영,윤해환,홍성호",한스미디어,2016,,Anthology,"MK, DN",
178,시스터 : 이두온 미스터리 스릴러,이두온,고즈넉이엔티,2016,,Book,"MK, MN",
179,악마는 법정에 서지 않는다 : 도진기 장편소설,도진기,황금가지,2016,,Book,"MK, DN",
180,요시와라 유녀와 비밀의 히데요시 : 조선탐정 박명준 : 허수정 장편소설,허수정,신아출판사,2016,,Book,"MK, DN",
181,운종가의 색목인들,"표창원,손선영",엔트리,2016,,Book,"MK, DN",
182,치정 : 현은미 미스터리 스릴러,현은미,고즈넉이엔티,2016,,Book,"MK, MN",
183,침묵의 그림자 : 이승욱 추리소설,이승욱,BG북갤러리,2016,,Book,"MK, DN",
184,D클럽과 여왕의 여름 : 박에스더 미스터리 스릴러,박에스더,고즈넉이엔티,2016,,Book,"MK, MN",
185,그림자의 울타리 : 미스터리 단편 소설집,심여진,부크크,2017,,Book,"MK, MN",
186,나의 오컬트한 일상 : 박현주 연작 미스터리. 가을/겨울 편,박현주,엘릭시르,2017,,Book,"MK, DN, MN",동일
187,나의 오컬트한 일상 : 박현주 연작 미스터리. 봄/여름 편,박현주,엘릭시르,2017,,Book,"MK, DN, MN",동일
188,낙원남녀,나혁진,황금가지,2017,,Book,"MK, DN",
189,라 트라 비아타의 초상 : 도진기 장편소설,도진기,황금가지,2017,,Book,"MK, DN",
