No.,Author,Title,Publication_Type,Start_Year,End_Year,Publication_Type,Source,비고
1128,"범유진,그린레보,김영민,박하루,정마리",허실시 기담괴설 사건집,고블,2023,,Anthology,A,
1129,"범유진,그린레보,김영민,박하루,정마리",허실시 일상신비 사건집,고블,2023,,Anthology,A,
1130,"범유진,그린레보,김영민,박하루,정마리",허실시 일상신비 사건집 + 허실시 기담괴설 사건집 - 전2권,고블,2023,,Anthology,A,
1131,"전건우,홍정기,양시명,조동신",혼숨,북오션,2023,,Anthology,A,
1132,"김세화,한새마,박상민,김유철,홍정기,정혁용,박소해",한국추리문학상 황금펜상 수상작품집 : 2022 제16회,나비클럽,2023,,Anthology,"A, K",
1133,"박소해,서미애,김영민,여실지,홍선주,홍정기,송시우",한국추리문학상 황금펜상 수상작품집 : 2023 제17회,나비클럽,2023,,Anthology,"A, K",
1134,"서미애,송시우,정해연,홍선주,이은영",파괴자들의 밤,안전가옥,2023,,Anthology,"A, K",
1135,"김내성,김성종,이상우,이경재,황미영,정현웅,서미애,강형원,이대환,정명섭,신재형,도진기,조동신,홍성호,황세연,노원,현정,김차애,곽재동,김연,박하익,장세연,김남,권경희,류성희,송시우,김주동,손선영,현재훈,이원두,최종철,최지수,문윤성,방재희,한이,김재희,이가형,김재성,김상윤,이수광,오현리,정혁,설인효,이승영",한국추리소설 걸작선 1,한즈미디어(한스미디어),2023,,Anthology,"A, K",
1136,M자형,24시간 : 삶과 죽음,부크크(bookk),2023,,Book,A,
1137,HVB,R:UBY,부크크(bookk),2023,,Book,A,
1138,남킹,거짓과 상상 혹은 죄와 벌,부크크(bookk),2023,,Book,A,
1139,김진우,경범죄 전문 흥신소,부크크(bookk),2023,,Book,A,
1140,정재환,곧 죽어도 힙합,고즈넉이엔티,2023,,Book,A,
1141,수박칼,괴현상처리반 猫項懸鈴 1부,부크크(bookk),2023,,Book,A,
1142,양진욱,구속,부크크(bookk),2023,,Book,A,
1143,김은우,그러니 귀를 기울여,무무책방,2023,,Book,A,
1144,박순옥,길 떠나는 하얀 겨울 나비,진포,2023,,Book,A,
1145,안시온,나는 살인자입니다,하이스트,2023,,Book,A,
1146,박해수,나의 집이 점잖게 피를 마실 때,네오픽션,2023,,Book,A,
1147,정세진,내가 최선을 다하지 않았다고,고즈넉이엔티,2023,,Book,A,
1148,남세오,너와 내가 다른 점은,씨드북(주),2023,,Book,A,
1149,이지원,노스텔지어,부크크(bookk),2023,,Book,A,
1150,고호,도쿄 한복판의 유력 용의자,델피노,2023,,Book,A,
1151,김연준,레귤러 가족,잇스토리,2023,,Book,A,
1152,이성민,마스터마인드,스윙테일,2023,,Book,A,
1153,김민솔,마지막 수학시간,부크크(bookk),2023,,Book,A,
1154,손영모,몽상가의 침묵,페스트북,2023,,Book,A,
1155,국승윤,무녀의 개,부크크(bookk),2023,,Book,A,
1156,김세화,묵찌빠,책과나무,2023,,Book,A,
1157,조동신,문관 갑옷을 입다,몽실북스,2023,,Book,A,
1158,방유찬,미스터리한 러브스토리,부크크(bookk),2023,,Book,A,
1159,김옥숙,배달의 천국,산지니,2023,,Book,A,
1160,조동신,백수의 크리스마스,네오픽션,2023,,Book,A,
1161,김주동,붉은 커튼,책과나무,2023,,Book,A,
1162,이수안,블랙 아이스,문학동네,2023,,Book,A,
1163,백결,비로소 내가 되었다,부크크(bookk),2023,,Book,A,
1164,임하곤,비밀 동아리 컨트롤제트,이지북,2023,,Book,A,
1165,박성신,살변의 창,북오션,2023,,Book,A,
1166,채고온,살인자 없는 살인,부크크(bookk),2023,,Book,A,
1167,백승화,성은이 냥극하옵니다,안전가옥,2023,,Book,A,
1168,양진욱,세상에서 가장 아름다운 구속,부크크(bookk),2023,,Book,A,
1169,송시무스,슈,부크크(bookk),2023,,Book,A,
1170,남킹,스네이크 아일랜드 1,부크크(bookk),2023,,Book,A,
1171,이락,시 탐정 사무소,안녕로빈,2023,,Book,A,
1172,조승훈,시그널 2,부크크(bookk),2023,,Book,A,
1173,정명섭,시그니처,북오션,2023,,Book,A,
1174,홍선주,심심포차 심심 사건,네오픽션,2023,,Book,A,
1175,전건우,안개 미궁,북오션,2023,,Book,A,
1176,장아결,안개꽃 빌라의 탐식가들,팩토리나인,2023,,Book,A,
1177,Yogi (요기) Huh,알마티의 현금 밴,부크크(bookk),2023,,Book,A,
1178,태수련,어둠과 소녀,부크크(bookk),2023,,Book,A,
1179,한성규,여섯 번째 살인,맑은샘,2023,,Book,A,
1180,박순옥,영원히 사라지지 않을 공소시효,진포,2023,,Book,A,
1181,최휘현,"우리 집으로 와, 악마의 이론을 들려 줄게...",잇스토리,2023,,Book,A,
1182,장기남,우리가 세상을 바꿀 수 없다면 1,빅웨이브엔터테인먼트,2023,,Book,A,
1183,이동건,우린 그림자가 보이지 않는다,델피노,2023,,Book,A,
1184,한새마,잔혹범죄전담팀 라플레시아걸,북오션,2023,,Book,A,
1185,페어웰,챗GPT의 암호책,부크크(bookk),2023,,Book,A,
1186,John H. Park,천년야화 : 기다리는 로켓,하움출판사,2023,,Book,A,
1187,정인영,카니발리즘,잇스토리,2023,,Book,A,
1188,최윤정,"퀀트, 아리아, 도마",부크크(bookk),2023,,Book,A,
1189,Yogi (요기) Huh,트럼프 죽이기,부크크(bookk),2023,,Book,A,
1190,이세라,특별배송 하시겠습니까,네오픽션,2023,,Book,A,
1191,고호,평양골드러시,델피노,2023,,Book,A,
1192,반고훈,호러 픽션 나이트,고즈넉이엔티,2023,,Book,A,
1193,매사,호풍환우,부크크(bookk),2023,,Book,A,
1194,김미습,향단이는 누가 죽였나,잇스토리,2023,,Book,"A, A",
1195,John H. Park,천년야화 : 로봇인 척해! 1 & 2,하움출판사,2023,,Book,"A, K",
1196,이중세,강철로 된 무지개,팩토리나인,2023,,Book,K,
1197,정해연,구원의 날,시공사,2023,,Book,K,
1198,강지영,굿 드라이버,STORY.B,2023,,Book,K,
1199,료묘,"그들은 만나고, 죽는다",스위밍풀,2023,,Book,K,
1200,서경희,김 대리가 죽었대,&(앤드),2023,,Book,K,
1201,이지유,깨끗한 살인,안전가옥,2023,,Book,K,
1202,박영,낙원은 창백한 손으로,은행나무,2023,,Book,K,
1203,임지원,너를 보았지,북랩,2023,,Book,K,
1204,이재익,너와 나의 미스터리,가쎄,2023,,Book,K,
1205,연여름,달빛수사,황금가지,2023,,Book,K,
1206,김강물,당신도 아는 이야기,안전가옥,2023,,Book,K,
1207,유재영,당신에게 죽음을,안전가옥,2023,,Book,K,
1208,이나래,대리운전,안전가옥,2023,,Book,K,
1209,철멍뭉,더 미스터리 1: 미지의 공포,부커,2023,,Book,K,
1210,철멍뭉,더 미스터리 2: 사상 최악의 사건,부커,2023,,Book,K,
1211,박희종,더 비하인드,팩토리나인,2023,,Book,K,
1212,서인부,두 개의 시선: Dual Sight,북랩,2023,,Book,K,
1213,전건우,듀얼,래빗홀,2023,,Book,K,
1214,라문찬,드보크,나무옆의자,2023,,Book,K,
1215,황인호,리스크,하움출판사,2023,,Book,K,
1216,이성민,마스터 마인드,스윙테일,2023,,Book,K,
1217,조예은,만조를 기다리며,위즈덤하우스,2023,,Book,K,
1218,최이도,메스를 든 사냥꾼,해피북스투유,2023,,Book,K,
1219,정해연,모델,위즈덤하우스,2023,,Book,K,
1220,김유림,불타지 않은,책과나무,2023,,Book,K,
1221,윤성환,블랙요원,생각나눔,2023,,Book,K,
1222,강지영,살인자의 쇼핑몰 2,자음과모음,2023,,Book,K,
1223,정해연,선택의 날,시공사,2023,,Book,K,
1224,박기복,소년 프로파일러와 도박의 유혹,행복한나무,2023,,Book,K,
1225,장아결,안개꽃 빌라의 탐식가들,리더스원,2023,,Book,K,
1226,도진기,애니,위즈덤하우스,2023,,Book,K,
1227,쿤룬,업자에게 잊혀진 시체 보관 기록,한즈미디어(한스미디어),2023,,Book,K,
1228,사라 진희,열대의 눈,안전가옥,2023,,Book,K,
1229,한새마,잔혹범죄전담팀 라플레시아 걸,북오션,2023,,Book,K,
1230,정해연,정해연 날 3부작 유괴의 날+구원의 날+선택의 날 세트,시공사,2023,,Book,K,
1231,라스트 로보,천년야화 : 기다리는 로켓,하움출판사,2023,,Book,K,
1232,이서도,초록 안의 세계,안전가옥,2023,,Book,K,
1233,조예은,"칵테일, 러브, 좀비",안전가옥,2023,,Book,K,
1234,정다이,콩그래츄 그래듀에이션,안전가옥,2023,,Book,K,
1235,문지혁,크리스마스 캐러셀,위즈덤하우스,2023,,Book,K,
1236,야화,프라다를 입는 변호사,가쎄,2023,,Book,K,
1237,김이은,하인학교 1,오르트북스,2023,,Book,K,
1238,김이은,하인학교 2,오르트북스,2023,,Book,K,
1239,주영하,행복배틀,고즈넉이엔티,2023,,Book,K,
1240,박희종,감귤마켓 셜록,메이드인,2023,,Book,"A, K",
1241,한고운,규슈의 실종자들,모모북스,2023,,Book,"A, K",
1242,우대경,그날로 다시 돌아가 널 살리고 싶어,델피노,2023,,Book,"A, K",
1243,김대현,그들은 후회하지 않는다,모모북스,2023,,Book,"A, K",
1244,황정은,그리고 아무도 없었다,책과나무,2023,,Book,"A, K",
1245,경민선,나는 실수로 투명인간을 죽였다,팩토리나인,2023,,Book,"A, K",
1246,김아직,노비스 탐정 길은목,몽실북스,2023,,Book,"A, K",
1247,공민철,다감 선생님은 아이들이 싫다,아프로스미디어,2023,,Book,"A, K",
1248,김재희,다다상조 회사,책과나무,2023,,Book,"A, K",
1249,정지혜,다마논드호,몽실북스,2023,,Book,"A, K",
1250,제인도,대리인 1,팩토리나인,2023,,Book,"A, K",
1251,제인도,대리인 2,팩토리나인,2023,,Book,"A, K",
1252,김인숙,더 게임,문학동네,2023,,Book,"A, K",
1253,정해연,더블,해피북스투유,2023,,Book,"A, K",
1254,장세아,런어웨이,아프로스미디어,2023,,Book,"A, K",
1255,유지나,르네 마그리트의 연인 1,팩토리나인,2023,,Book,"A, K",
1256,유지나,르네 마그리트의 연인 2,팩토리나인,2023,,Book,"A, K",
1257,전혜진,마리 이야기,요다,2023,,Book,"A, K",
1258,조선희,매구를 죽이려고,네오픽션,2023,,Book,"A, K",
1259,정해연,못 먹는 남자,엘릭시르,2023,,Book,"A, K",
1260,"최혁곤,이용균",몽키스 구단 미해결 사건집,황금가지,2023,,Book,"A, K",
1261,"최혁곤,이용균",몽키스 구단 에이스팀 사건집 세트 - 전2권,황금가지,2023,,Book,"A, K",
1262,김도윤,배니시드,팩토리나인,2023,,Book,"A, K",
1263,정명섭,뱀파이어 셜록,돌베개,2023,,Book,"A, K",
1264,전건우,불귀도 살인사건,북다,2023,,Book,"A, K",
1265,염유창,불특정 다수,해피북스투유,2023,,Book,"A, K",
1266,곽재식,사설탐정사의 밤,문학과지성사,2023,,Book,"A, K",
1267,홍정기,살의의 형태,서랍의날씨,2023,,Book,"A, K",
1268,서귤,삼국평화고등학교 테러 사건,위즈덤하우스,2023,,Book,"A, K",
1269,박현주,새벽 2시의 코인 세탁소,엘릭시르,2023,,Book,"A, K",
1270,이봄,"서울, 카타콤",위즈덤하우스,2023,,Book,"A, K",
1271,송시우,선녀를 위한 변론,래빗홀,2023,,Book,"A, K",
1272,정세랑,"설자은, 금성으로 돌아오다",문학동네,2023,,Book,"A, K",
1273,김기홍,수인번호 1004,좋은땅,2023,,Book,"A, K",
1274,마태,습기,해피북스투유,2023,,Book,"A, K",
1275,윤자영,십자도 살인사건,북오션,2023,,Book,"A, K",
1276,배상민,아홉 꼬리의 전설,북다,2023,,Book,"A, K",
1277,리러하,악마의 계약서는 만기 되지 않는다,팩토리나인,2023,,Book,"A, K",
1278,황규섭,옛날 철공소,서랍의날씨,2023,,Book,"A, K",
1279,신원섭,요란한 아침의 나라,황금가지,2023,,Book,"A, K",
1280,스카이마린,원룸,파란문어,2023,,Book,"A, K",
1281,김정금,조금만 고개를 돌려도,델피노,2023,,Book,"A, K",
1282,제인도,죽은 남편이 돌아왔다 1,팩토리나인,2023,,Book,"A, K",
1283,제인도,죽은 남편이 돌아왔다 2,팩토리나인,2023,,Book,"A, K",
1284,방현희,코인,릿릿,2023,,Book,"A, K",
1285,조예은,테디베어는 죽지 않아,안전가옥,2023,,Book,"A, K",
1286,디바제시카,토요미스테리,너와숲,2023,,Book,"A, K",
1287,선주경,푸시아핑크 찾기,지식공감,2023,,Book,"A, K",
1288,엄성용,혐오스런 선데이 클럽,안전가옥,2023,,Book,"A, K",
1289,홍선주,푸른 수염의 방,나비클럽,2023,,Book,"A, A, K",
1290,김진명,무궁화꽃이 피었습니다 1,이타북스,2023,,Book,"K, K",
1291,김진명,무궁화꽃이 피었습니다 2,이타북스,2023,,Book,"K, K",
1292,김동식,백 명 버튼,위즈덤하우스,2023,,Book,"K, K",
1293,정유나,표리부동,부크크(bookk),2023,,Book,A,
1294,"정현재,이수언,조희상,김윤건,민경준",IMMUNE,부크크(bookk),2024,,Anthology,A,
1295,"최지원,전효원,장아미,김이삭,한켠",경성 환상 극장,안전가옥,2024,,Anthology,A,
1296,"빗물,WATERS,이작,박소해,홍정기,사마란,전건우",고딕 × 호러 × 제주,빚은책들,2024,,Anthology,A,
1297,"서미애,송시우,정해연,홍선주,이은영,한새마",미친 X들,안전가옥,2024,,Anthology,A,
1298,"이예진,박윤정,이하린",살인 매거진,부크크(bookk),2024,,Anthology,A,
1299,"조영주,박상민,전건우,주원규,김세화,차무진",십자가의 괴이,비채,2024,,Anthology,A,
1300,"홍정기,김범석,김영민,조동신,한새마,박건우",교수대 위의 까마귀,서랍의날씨,2024,,Anthology,"A, K",
1301,"김봉석,배명은,비티,위래,전혜진,홍락훈","요괴사설 : 어디에도 없지만, 어디에나 있는",에이플랫,2024,,Anthology,"A, K",
1302,"무경,홍선주,장우석,박건우,정해연,김범석",한국추리문학상 황금펜상 수상작품집 : 2024 제18회,나비클럽,2024,,Anthology,A,
1303,"돌멩이,풀,8월,생쥐,꼬꼬,추추",희대의 비극,부크크(bookk),2024,,Anthology,A,
1304,"박소해,서미애,김영민,여실지,홍선주,홍정기,송시우",한국추리문학상 황금펜상 수상작품집 : 2023 제17회,나비클럽,2024,,Anthology,"A, K",
1305,"송한별,엄성용,홍정기",#기묘한살인사건,다담북스,2024,,Anthology,K,
1306,"전건우,이마음,배명은,권여원,우재윤,지언,김종일","중편들, 한국 공포문학의 밤 세트",황금가지,2024,,Anthology,K,
1307,"무경,홍선주,장우석,박건우,정해연,김범석",황금펜상 수상작품집: 2024년 제18회,나비클럽,2024,,Anthology,K,
1308,"조예은,임선우,리단,정지음,전건우",이웃집 소시오패스의 사정,&(앤드),2024,,Anthology,"A, K",
1309,정해연,2인조 + 홍학의 자리 - 전2권,엘릭시르,2024,,Book,A,
1310,신현,5번의 죽음 6번의 목숨,부크크(bookk),2024,,Book,A,
1311,정현우,가족 대행소 F,부크크(bookk),2024,,Book,A,
1312,"지니, 쵸니",검은 국화,부크크(bookk),2024,,Book,A,
1313,장용민,궁극의 아이 1~2부 세트 - 전2권,재담,2024,,Book,A,
1314,장용민,궁극의 아이 1부,재담,2024,,Book,A,
1315,장용민,궁극의 아이 2부,재담,2024,,Book,A,
1316,정채연,그림자 마법사들,문학수첩,2024,,Book,A,
1317,오윤희,금붕어 룰렛,팩토리나인,2024,,Book,A,
1318,이정훈,네메시스의 단검,아프로스미디어,2024,,Book,A,
1319,이계절,달빛마을 실종사건,마카롱,2024,,Book,A,
1320,송대길,당직실 고양이,비엠케이(BMK),2024,,Book,A,
1321,임이정,도깨비 사냥,안전가옥,2024,,Book,A,
1322,권보영 외,도서관 사건 파일,부크크(bookk),2024,,Book,A,
1323,김이은,동물농장,고즈넉이엔티,2024,,Book,A,
1324,나연만,돼지의 피,북다,2024,,Book,A,
1325,박하루,러브 스타카토,고블,2024,,Book,A,
1326,양병채,로건과 샬롯의 탐정일기 : 연쇄살인범의 게임,부크크(bookk),2024,,Book,A,
1327,김아직,먼지가 되어,사계절,2024,,Book,A,
1328,김인숙,물속의 입,문학동네,2024,,Book,A,
1329,최난영,미제레레,토마토출판사,2024,,Book,A,
1330,토란,민들레꽃 제1권,부크크(bookk),2024,,Book,A,
1331,토란,민들레꽃 제2권,부크크(bookk),2024,,Book,A,
1332,토란,민들레꽃 제3권,부크크(bookk),2024,,Book,A,
1333,이나래,배드트립,미싱링크,2024,,Book,A,
1334,박힘찬,백만 유튜버 죽이기,오러,2024,,Book,A,
1335,최영환,복수의 미로,부크크(bookk),2024,,Book,A,
1336,박대겸,부산 느와르 미스터리,오러,2024,,Book,A,
1337,존 큐,분노의 히어로,제네시스출판사,2024,,Book,A,
1338,박윤,불의고리,부크크(bookk),2024,,Book,A,
1339,김정용,붉은 상자,델피노,2024,,Book,A,
1340,박세정,비앙또 단편선,문학과평론사,2024,,Book,A,
1341,이지완,"사라진 호텔, 겟로스트",부크크(bookk),2024,,Book,A,
1342,박준하,살해되려는 욕구,부크크(bookk),2024,,Book,A,
1343,김세진,"삶, 범죄자의.",좋은땅,2024,,Book,A,
1344,현이랑,새들의 집,황금가지,2024,,Book,A,
1345,서미애,"서미애 컬렉션 북토크 10월 18일 (금) 오후 7시 30분, 알라딘 빌딩 1층",엘릭시르,2024,,Book,A,
1346,서미애,서미애 컬렉션 세트 - 전3권,엘릭시르,2024,,Book,A,
1347,서미애,서미애 컬렉션 세트 도서 + 서미애 북토크,엘릭시르,2024,,Book,A,
1348,이린,선의 해부 Part 1,잇스토리,2024,,Book,A,
1349,이린,선의 해부 Part 2,잇스토리,2024,,Book,A,
1350,백결,소실,부크크(bookk),2024,,Book,A,
1351,최영환,속임수 거울,부크크(bookk),2024,,Book,A,
1352,김구일,송곳니,안전가옥,2024,,Book,A,
1353,청예,수호신,네오픽션,2024,,Book,A,
1354,에반 오,숲속의 사진기,잇스토리,2024,,Book,A,
1355,이락,시 탐정 사무소 2,안녕로빈,2024,,Book,A,
1356,다른이름,아름답게 자란 B친여자,부크크(bookk),2024,,Book,A,
1357,오현후,악의 고해소,팩토리나인,2024,,Book,A,
1358,선우,앤티크 숍 더 문,달꽃,2024,,Book,A,
1359,선우,앤티크 숍 더 문 : 흉산의 주인,달꽃,2024,,Book,A,
1360,박윤,야구자,부크크(bookk),2024,,Book,A,
1361,도우진,어디에도 휘파람은 없다,부크크(bookk),2024,,Book,A,
1362,공소작가,엄마에게 듣는 무서운 이야기 1,부크크(bookk),2024,,Book,A,
1363,공소작가,엄마에게 듣는 무서운 이야기 2,부크크(bookk),2024,,Book,A,
1364,차무진,여우의 계절,요다,2024,,Book,A,
1365,Kalsavina,역광,부크크(bookk),2024,,Book,A,
1366,성낙헌,연쇄삶인,포레스트 웨일,2024,,Book,A,
1367,김기석,영원의 1초는 얼마인가,부크크(bookk),2024,,Book,A,
1368,이아람,옐로우 레이디,안전가옥,2024,,Book,A,
1369,권중영,완벽한 시간,행복에너지,2024,,Book,A,
1370,황세연,완전 부부 범죄,북다,2024,,Book,A,
1371,김기석,용서하지 않을 권리,부크크(bookk),2024,,Book,A,
1372,제임스엄,유미의 공부,창조와지식(북모아),2024,,Book,A,
1373,현찬양,이름 없는 여자들의 궁궐 기담,엘릭시르,2024,,Book,A,
1374,현찬양,이름 없는 여자들의 궁궐 기담 + 잠 못 드는 밤의 궁궐 기담 - 전2권,엘릭시르,2024,,Book,A,
1375,박기복,전지적 감시자 시점,행복한나무,2024,,Book,A,
1376,유주애,절벽에 세운 집 1,바다주,2024,,Book,A,
1377,세웅,죽은 자의 블랙박스를 요청합니다,팩토리나인,2024,,Book,A,
1378,김은채,지하실의 새,델피노,2024,,Book,A,
1379,한청민,초자연현상처리반,부크크(bookk),2024,,Book,A,
1380,남다른,총원산,부크크(bookk),2024,,Book,A,
1381,이석용,최면술사의 시대,팩토리나인,2024,,Book,A,
1382,문정,클론,행복우물,2024,,Book,A,
1383,김세화,타오,나비클럽,2024,,Book,A,
1384,강재영,타오르는 폐곡선,잇스토리,2024,,Book,A,
1385,박현석,타인의 숲,부크크(bookk),2024,,Book,A,
1386,권중영,타인의 시간,행복에너지,2024,,Book,A,
1387,노원,트윈 풀 호텔의 살인 사건,포문출판,2024,,Book,A,
1388,안교찬,특별한 파트너,잇스토리,2024,,Book,A,
1389,조설은,하이드의 귀환,부크크(bookk),2024,,Book,A,
1390,전리오,할머니의 야구공,초봄책방,2024,,Book,A,
1391,양시명,해피 벌쓰데이,책과나무,2024,,Book,A,
1392,곽민경,행복도 사람들,부크크(bookk),2024,,Book,A,
1393,김철,"헤이그의 비밀, 이준 열사 사망 미스터리",열세번째방,2024,,Book,A,
1394,허한월(최현),혈.화 (血.花),부크크(bookk),2024,,Book,A,
1395,장성우(살생금지),"형사刑事 이야기, 윤계식 1",부크크(bookk),2024,,Book,A,
1396,장성우(살생금지),"형사刑事 이야기, 윤계식 2 完",부크크(bookk),2024,,Book,A,
1397,호랑이를 좋아하는 사람들,호랑이,바른북스,2024,,Book,A,
1398,주성민,호랑이 부름,잇스토리,2024,,Book,A,
1399,"김재연,김재인",화장실 낙서의 비밀,부크크(bookk),2024,,Book,A,
1400,남킹,흥민 빌라 404,부크크(bookk),2024,,Book,A,
1401,이중세,나쁜 검사들,마이디어북스,2024,,Book,"A, A",
1402,표창원,카스트라토 : 거세당한 자,&(앤드),2024,,Book,"A, K",
1403,정해연,2인조,엘릭시르,2024,,Book,K,
1404,오세민,3층의 탐정 폴리와 라이스,STORY.B,2024,,Book,K,
1405,박영,낙원은 창백한 손으로,은행나무,2024,,Book,K,
1406,허주은,늑대 사이의 학,시공사,2024,,Book,K,
1407,이종관,당신의 비밀,고즈넉이엔티,2024,,Book,K,
1408,허아른,돌림판 작가 허아른의 소설 분투기: 소재는 일상 내용은 스릴러,고즈넉이엔티,2024,,Book,K,
1409,허아른,돌림판 작가 허아른의 소설 분투기: 주제는 랜덤 결과는 미스터리,고즈넉이엔티,2024,,Book,K,
1410,윤영,디톡스,스토디오,2024,,Book,K,
1411,김달리,렉카 김재희,고즈넉이엔티,2024,,Book,K,
1412,조광희,"밤의, 소설가",문학과지성사,2024,,Book,K,
1413,성혜령,버섯 농장,창비,2024,,Book,K,
1414,박세정,비앙또 단편선,좋은땅,2024,,Book,K,
1415,성혜령,산으로 가는 이야기,자음과모음,2024,,Book,K,
1416,배예람,살인을 시작하겠습니다,이지북,2024,,Book,K,
1417,강지영,살인자의 쇼핑몰 세트,자음과모음,2024,,Book,K,
1418,"황민구, 이도연",선희,부크럼,2024,,Book,K,
1419,오현후,악의 고해소,쌤앤파커스,2024,,Book,K,
1420,정해연,용의자들,위즈덤하우스,2024,,Book,K,
1421,이나래,ㅈㄱ거래,미싱링크,2024,,Book,K,
1422,전건우,"중편들, 한국 공포문학의 밤 월요일: 앨리게이터",황금가지,2024,,Book,K,
1423,리지명,철과 흙,예옥,2024,,Book,K,
1424,노원,트윈 풀 호텔의 살인 사건,포문,2024,,Book,K,
1425,단요,피와 기름,래빗홀,2024,,Book,K,
1426,양수련,해피 벌쓰데이,책과나무,2024,,Book,K,
1427,이성민,헤드헌터,안전가옥,2024,,Book,K,
1428,봉운,호랑이,바른북스,2024,,Book,K,
1429,금사율,화원,좋은땅,2024,,Book,K,
1430,박성용,휴브리스(Hubris),좋은땅,2024,,Book,K,
1431,조정희,휴양림 49일,BG북갤러리,2024,,Book,K,
1432,최들판,7분: 죽음의 시간,엘릭시르,2024,,Book,"A, K",
1433,강진아,mymy,북다,2024,,Book,"A, K",
1434,김이삭,감찰무녀전,고즈넉이엔티,2024,,Book,"A, K",
1435,이다모,귀우,아프로스미디어,2024,,Book,"A, K",
1436,서미애,그녀의 취미생활,엘릭시르,2024,,Book,"A, K",
1437,프리키,기생록,아프로스미디어,2024,,Book,"A, K",
1438,서미애,까마귀 장례식,엘릭시르,2024,,Book,"A, K",
1439,서미애,남편을 죽이는 서른 가지 방법,엘릭시르,2024,,Book,"A, K",
1440,정해연,누굴 죽였을까,북다,2024,,Book,"A, K",
1441,길무상,다크 디텍티브,북랩,2024,,Book,"A, K",
1442,김서진,달콤한 살인 계획,나무옆의자,2024,,Book,"A, K",
1443,배준,도깨비섬,네오픽션,2024,,Book,"A, K",
1444,고호,레디 슛,델피노,2024,,Book,"A, K",
1445,고태라,마라의 요람,아프로스미디어,2024,,Book,"A, K",
1446,김하림,마피아 찾기,고즈넉이엔티,2024,,Book,"A, K",
1447,이성민,미러하우스,아프로스미디어,2024,,Book,"A, K",
1448,김재희,뱀파이어 탐정단,북오션,2024,,Book,"A, K",
1449,김보현,블러디 마더,안전가옥,2024,,Book,"A, K",
1450,정민,아바나 리브레,리브레,2024,,Book,"A, K",
1451,전건우,어두운 물,&(앤드),2024,,Book,"A, K",
1452,한새마,"엄마, 시체를 부탁해",바른북스,2024,,Book,"A, K",
1453,청예,오렌지와 빵칼,허블,2024,,Book,"A, K",
1454,스카이마린,이상한 나라의 정육점 1,파란문어,2024,,Book,"A, K",
1455,스카이마린,이상한 나라의 정육점 2,파란문어,2024,,Book,"A, K",
1456,김기홍,이성과 본능,북랩,2024,,Book,"A, K",
1457,홍정기,초소년,빚은책들,2024,,Book,"A, K",
1458,하모,추리 첨가 미니 버거,도서출판이곳,2024,,Book,"A, K",
1459,박희종,추리의 민족: 범인은 여기요,텍스티(TXTY),2024,,Book,"A, K",
1460,이현진,치팅 데이,아프로스미디어,2024,,Book,"A, K",
1461,권중영,침묵의 시간,행복에너지,2024,,Book,"A, K",
1462,신아인,킬에이저,한끼,2024,,Book,"A, K",
1463,박성신,텔로미어,북다,2024,,Book,"A, K",
1464,무경,마담 흑조는 곤란한 이야기를 청한다,나비클럽,2024,,Book,"A, A, K",
1465,임지현,이끼정원,잇스토리,2024,,Book,A,
1466,"정해연,조영주,정명섭,박산호,박상민","<마티스×스릴러> 도서 + 정해연, 조영주, 정명섭, 박산호, 박상민 북토크",마티스블루,2025,,Anthology,A,
1467,"정해연,조영주,정명섭,박산호,박상민",<마티스×스릴러> 북토크,마티스블루,2025,,Anthology,A,
1468,김대철 외 3명,사인사색,부크크(bookk),2025,,Anthology,A,"실제 작가는 정은형, 송난초, 송옥돌, 효주인데 왜 김대철 외 3명인지 확인 필요"
1469,"정해연,조영주,정명섭,박산호,박상민",마티스×스릴러,마티스블루,2025,,Anthology,"A, K",
1470,"김아직,박하익,송시우,정명섭,최혁곤",클리셰: 확장자들,북다,2025,,Anthology,A,
1471,"무경,홍선주,장우석,박건우,정해연,김범석",한국추리문학상 황금펜상 수상작품집 : 2024 제18회,나비클럽,2025,,Anthology,"A, K",
1472,"김영주,소향,신조하,장세아,정명섭",푸른 수염의 딸들,아프로스미디어,2025,,Anthology,K,
1473,"고수고수,강연서,교묘,김지윤,송수예",제8회 엘릭시르 미스터리 대상 수상작품집,엘릭시르,2025,,Anthology,"A, K",
1474,정세랑,"<설자은, 불꽃을 쫓다> 도서 + 북토크",문학동네,2025,,Book,A,
1475,정세랑,"<설자은, 불꽃을 쫓다> 북토크",문학동네,2025,,Book,A,
1476,박상혁,KINGMAKER,부크크(bookk),2025,,Book,A,
1477,정서영,Requiem : 레퀴엠,부크크(bookk),2025,,Book,A,
1478,김수언,USB,부크크(bookk),2025,,Book,A,
1479,알레스 K,강남 형사 : chapter 1. 쌍둥이 수표,더스토리정글,2025,,Book,A,
1480,알레스 K,강남 형사 : chapter 2. 마트료시카,더스토리정글,2025,,Book,A,
1481,알레스 K,강남 형사 : chapter 3. 꿀벌의 춤,더스토리정글,2025,,Book,A,
1482,박지원,거구귀(巨口鬼),부크크(bookk),2025,,Book,A,
1483,이성현,공포의 육하원칙,부크크(bookk),2025,,Book,A,
1484,이다모,"괴조도 ~ 괴이, 이형의 둥지",아프로스미디어,2025,,Book,A,
1485,임윤희,그림자 고양이와 낡은 다락방,부크크(bookk),2025,,Book,A,
1486,정채연,그림자 마법사들 2,문학수첩,2025,,Book,A,
